uf,populacao,regiao
Rondônia,1.815.278,Norte
Acre,906.876,Norte
Amazonas,4.269.995,Norte
Roraima,652.713,Norte
Pará,8.777.124,Norte
Amapá,877.613,Norte
Tocantins,1.607.363,Norte
Maranhão,7.153.262,Nordeste
Piauí,3.289.290,Nordeste
Ceará,9.240.580,Nordeste
Rio Grande do Norte,3.560.903,Nordeste
Paraíba,4.059.905,Nordeste
Pernambuco,9.674.793,Nordeste
Alagoas,3.365.351,Nordeste
Sergipe,2.338.474,Nordeste
Bahia,14.985.284,Nordeste
Minas Gerais,21.411.923,Sudeste
Espírito Santo,4.108.508,Sudeste
Rio de Janeiro,17.463.349,Sudeste
São Paulo,46.649.132,Sudeste
Paraná,11.597.484,Sul
Santa Catarina,7.338.473,Sul
Rio Grande do Sul,11.466.630,Sul
Mato Grosso do Sul,2.839.188,Centro-Oeste
Mato Grosso,3.567.234,Centro-Oeste
Goiás,7.206.589,Centro-Oeste
Distrito Federal,3.094.325,Centro-Oeste